日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2016-01-05,21002,476544,22.7,22.75,22.65,22.75,0.1,12
2016-01-06,20000,453400,22.8,22.8,22.5,22.75, 0.00,7
2016-01-07,28908,651898,22.35,22.75,22.25,22.6,-0.15,19
2016-01-08,44700,1004148,22.5,22.7,22.2,22.6, 0.00,19
2016-01-11,18900,427287,22.6,22.7,22.6,22.65,0.05,17
2016-01-12,36301,818419,22.6,22.6,22.25,22.55,-0.1,24
2016-01-13,74002,1656844,22.4,22.55,22.35,22.35,-0.2,24
2016-01-14,212300,4765439,22.45,22.55,22.3,22.45,0.1,40
2016-01-15,20000,450050,22.5,22.6,22.2,22.5,0.05,10
2016-01-18,11145,248266,22.3,22.55,22.1,22.55,0.05,18
2016-01-19,8802,197614,21.85,22.6,21.85,22.55, 0.00,11
2016-01-20,11003,245966,22.25,22.5,22.25,22.4,-0.15,10
2016-01-21,32091,727215,22.5,22.9,22.5,22.9,0.5,21
2016-01-22,12004,274392,22.9,22.9,22.85,22.85,-0.05,6
2016-01-25,29007,658804,22.8,22.8,22.65,22.75,-0.1,20
2016-01-26,39192,891155,22.75,22.85,22.7,22.85,0.1,16
2016-01-27,13180,299865,22.75,22.8,22.75,22.75,-0.1,10
2016-01-28,15902,360694,22.65,22.75,22.65,22.7,-0.05,19
2016-01-29,28422,644495,22.7,22.75,22.6,22.65,-0.05,13
2016-01-30,17002,391046,23.0,23.0,23.0,23.0,0.35,8
2016-02-01,35474,810107,23.0,23.15,22.7,22.8,-0.2,23
2016-02-02,32002,730246,22.8,22.95,22.8,22.95,0.15,15
2016-02-03,45015,1028045,22.95,22.95,22.65,22.9,-0.05,16
2016-02-15,24080,549246,22.9,22.9,22.8,22.9, 0.00,22
2016-02-16,15369,353355,22.9,23.05,22.9,23.05,0.15,16
2016-02-17,24102,552611,23.0,23.0,22.9,22.95,-0.1,9
2016-02-18,20263,466267,23.0,23.1,22.95,23.1,0.15,22
2016-02-19,6092,140029,22.9,23.15,22.9,23.15,0.05,7
2016-02-22,3109,72282,23.25,23.25,23.25,23.25,0.1,9
2016-02-23,6001,139273,23.25,23.25,23.15,23.2,-0.05,7
2016-02-24,17011,396353,23.4,23.4,23.2,23.4,0.2,27
2016-02-25,35002,813146,23.15,23.4,23.15,23.2,-0.2,14
